Semester,Course,Credits,UCs Fulfilled
1,MAT 1A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MAT 1B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MAT 2,4.0,UCB; UCLA; UCM; UCSB
1,MAT 1C,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CIS 5,4.0,UCD; UCR; UCSB
2,MAT 3,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,CIS 7,3.0,UCD; UCSB; UCSC
2,CIS 17B,3.0,UCD; UCI
2,CIS 11,3.0,UCD; UCSC
3,CIS 17A,3.0,UCI; UCLA; UCSC
3,CSC 17A,3.0,UCM
3,CIS 17C,3.0,UCR; UCSB
3,CIS 18B,3.0,UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
