Semester,Course,Credits,UCs Fulfilled
1,MATH 400,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 401,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 402,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 420,4.0,UCB; UCLA; UCM; UCSB
2,CISP 360,4.0,UCD; UCR; UCSB
2,CISP 400,4.0,UCD; UCLA; UCR
2,CISP 430,4.0,UCM; UCSB; UCSC; UCSD
3,CISP 310,4.0,UCSC
3,MATH 410,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,CISP 440,3.0,UCD; UCSB; UCSC; UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,CSE 8B,,UCSD
