Semester,Course,Credits,UCs Fulfilled
1,MATH 3A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 3B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 3C,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 3AH,5.0,UCLA
2,MATH 24,4.0,UCB; UCLA; UCM; UCSB
2,MATH 26,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,CS 1D,3.5,UCD; UCM; UCSB; UCSD
3,CS 1A,3.5,UCD; UCI; UCSB
3,CS 1C,3.5,UCD; UCI; UCR
3,CS 3B,3.5,UCD; UCSC
3,CS 1B,3.5,UCI; UCLA; UCR; UCSB; UCSC
3,CS 4B,3.5,UCSD
4,CS 30A,3.0,UCD; UCSB; UCSC
4,CS 30B,3.0,UCSC
UNARTICULATED,CSE 20,,UCSD
