Semester,Course,Credits,UCs Fulfilled
1,MATH 1,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 2,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 4,4.0,UCB; UCLA; UCM; UCSB
1,MATH 5,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 3,4.0,UCB; UCLA; UCM; UCSD
2,CS 55,3.0,UCD; UCSB; UCSC
2,CSP 31B,3.0,UCD; UCLA; UCR; UCSB
2,CSP 25,3.0,UCD; UCSC
2,CSP 31A,3.0,UCLA; UCSB
3,CSP 26B,3.0,UCM; UCSB; UCSC
3,CSP 26A,3.0,UCR
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,MAT 021C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
