Semester,Course,Credits,UCs Fulfilled
1,MATH 071,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 072,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 073,5.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 071H,5.0,UCI
2,MATH 078,4.0,UCB; UCLA; UCM; UCSB
2,MATH 070,4.0,UCD; UCSB; UCSC; UCSD
2,MATH 079,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,CIS 054,3.0,UCD; UCLA; UCR; UCSB
3,CIS 055,3.0,UCD; UCM; UCSB; UCSC
3,MATH 062,3.0,UCI
3,CIS 024C,3.0,UCI
3,CIS 025C,3.0,UCI
3,CIS 059,3.0,UCR
4,CIS 084,3.0,UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 12,,UCSD
