Semester,Course,Credits,UCs Fulfilled
1,MATH 287,5.0,UCB; UCLA; UCM; UCSB; UCSD
1,MATH 180,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 185,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 280,4.0,UCB; UCLA; UCM; UCSD
2,CMPR 129,4.0,UCD
2,CMPR 112,3.0,UCD; UCI; UCSD
2,CMPR 113,3.0,UCI
2,CMPR 121,3.0,UCLA; UCR
2,CMPR 131,3.0,UCR; UCSB; UCSC; UCSD
3,CMPR 140,3.0,UCSB; UCSC; UCSD
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CSE 030,,UCM
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CSE 12,,UCSC
