Semester,Course,Credits,UCs Fulfilled
1,MATH 150,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 160,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 210,4.0,UCB; UCLA; UCM; UCSB; UCSD
1,MATH 220,4.0,UCB; UCLA; UCM; UCSB
2,MATH 200,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CS 108,4.0,UCD; UCSB; UCSC; UCSD
2,CS 140,4.0,UCI; UCLA; UCR; UCSB; UCSD
2,CS 106,3.0,UCD; UCM; UCSB; UCSC; UCSD
2,CS 137,3.0,UCD; UCR; UCSB
3,CS 107,3.0,UCD; UCSC
3,CS 104,3.0,UCI
3,CS 114,3.0,UCI
3,CS 105,3.0,UCSB; UCSD
UNARTICULATED,ECS 036B,,UCD
