Semester,Course,Credits,UCs Fulfilled
1,MATH 7,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 8,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 11,5.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 13,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 15,3.0,UCB; UCLA; UCM; UCSB
2,CS 20A,3.0,UCD; UCM; UCSB; UCSC; UCSD
2,MATH 10,3.0,UCD; UCSB; UCSC; UCSD
2,CS 17,3.0,UCD
2,CS 55,3.0,UCI; UCSD
2,CS 56,3.0,UCI
3,CS 52,3.0,UCLA; UCR
3,CS 50,3.0,UCR; UCSB
3,CS 18,3.0,UCSC
3,CS 20B,3.0,UCSD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
