Semester,Course,Credits,UCs Fulfilled
1,MATH 1A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 2,4.0,UCB; UCLA; UCM; UCSB
1,MATH 5,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 1C,4.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 4,4.0,UCD; UCSB; UCSC; UCSD
2,CS 10C,4.0,UCD; UCM; UCR; UCSB; UCSC
2,CS 12,4.0,UCD; UCSC
3,CS 10A,4.0,UCR
3,CS 10B,4.0,UCSB
3,CS 17.11,3.0,UCD; UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 12,,UCSD
