Semester,Course,Credits,UCs Fulfilled
1,MATH 287,5.0,UCB; UCLA; UCM; UCSD
1,MATH 150,5.0,UCI
1,MATH 180S,4.5,UCI
2,MATH 180,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
2,MATH 185,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
2,MATH 280,4.0,UCB; UCLA; UCM; UCSD
2,CMPR 129,4.0,UCD
3,MATH 180H,4.0,UCI
3,CMPR 112,3.0,UCD
3,CMPR 120,3.0,UCI; UCLA
3,CMPR 121,3.0,UCI; UCR; UCSB
3,CMPR 131,3.0,UCM; UCR; UCSB; UCSC
4,MATH 295,3.0,UCSB
4,CMPR 149,3.0,UCSB
4,MATH 290,3.0,UCSB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
