Semester,Course,Credits,UCs Fulfilled
1,MATH 3B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 3A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 4B,4.0,UCB; UCLA; UCM; UCSB
1,MATH 4A,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CIS 63,4.0,UCD; UCSC
2,MATH 6,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,CIS 67,3.0,UCD; UCSB; UCSC
2,CIS 61,3.0,UCD; UCR; UCSB
2,CIS 65,3.0,UCD; UCM; UCR; UCSB
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
