Semester,Course,Credits,UCs Fulfilled
1,MATH 33,6.0,UCB; UCLA; UCM; UCSB; UCSD
1,MATH 30,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 31,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 32,4.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 15,4.0,UCSC
2,CSCI 14,3.0,UCD; UCSB; UCSC; UCSD
2,CSCI 26,3.0,UCD; UCSB; UCSD
2,CSCI 46,3.0,UCD; UCSB
2,CSCI 13,3.0,UCD; UCM; UCR; UCSD
3,CSCI 39,3.0,UCD; UCSC
3,CSCI 66,3.0,UCLA
3,CSCI 12,3.0,UCR
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
