Semester,Course,Credits,UCs Fulfilled
1,MATH 020,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 021,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 023,4.0,UCB; UCLA; UCM; UCSB
1,MATH 022,4.0,UCB; UCD; UCLA; UCM; UCSD
2,MATH 040,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,CIS 023,3.0,UCD; UCM; UCSC; UCSD
2,CIS 021,3.0,UCD; UCSB; UCSC
2,CIS 022,3.0,UCD; UCLA; UCR
2,CIS 020,3.0,UCD; UCSC
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
