Semester,Course,Credits,UCs Fulfilled
1,MATH V21A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH V21B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH V21C,5.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH V22,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH V23,3.0,UCB; UCLA; UCM; UCSB
2,CS V15,3.0,UCD; UCM; UCSB; UCSC; UCSD
2,CS V17,3.0,UCD; UCSB; UCSD
2,CS V13,3.0,UCD; UCR; UCSB
2,CS V19,3.0,UCD; UCSC
2,CS V40,3.0,UCI
3,CS V42,3.0,UCI; UCSD
3,CS V30,3.0,UCLA; UCSB
3,CS V11,3.0,UCSB
3,MATH V52,3.0,UCSC
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,CS 10B,,UCR
