Semester,Course,Credits,UCs Fulfilled
1,MATH 228,5.0,UCB; UCD; UCLA; UCM; UCSD
1,MATH 226,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 227,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,CIS 202,4.0,UCD; UCR; UCSB
2,CIS 201,4.0,UCR; UCSB
2,CIS 206,4.0,UCSD
2,MATH 231,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 270,3.0,UCB; UCLA; UCM; UCSB
2,CIS 208,3.0,UCD; UCSC
3,CIS 264,3.0,UCSB
UNARTICULATED,MATH 1B,,UCB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 030,,UCM
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
