Semester,Course,Credits,UCs Fulfilled
1,MATH 261,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 262,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 263,5.0,UCB; UCD; UCLA; UCM; UCSD
2,ENG GEN 120,4.0,UCLA
2,MATH 270,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 275,3.0,UCB; UCLA; UCM; UCSB
2,CS 131,3.0,UCD; UCSB; UCSC; UCSD
2,CS 116,3.0,UCD; UCR; UCSB
3,CS 213,3.0,UCD
3,CS 118,3.0,UCD
3,CS 119,3.0,UCI
3,CS 136,3.0,UCM; UCSC; UCSD
3,CS 216,3.0,UCR; UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CSE 12,,UCSC
