Semester,Course,Credits,UCs Fulfilled
1,MATH 003A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 003B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 004A,5.0,UCB; UCLA; UCM; UCSD
2,MATH 004B,4.0,UCB; UCLA; UCM; UCSB
2,MATH 004C,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,CIST 004B,4.0,UCD; UCR; UCSB; UCSC
2,MATH 019,4.0,UCD; UCSB; UCSC; UCSD
3,CIST 004A,4.0,UCD; UCLA; UCR; UCSB
3,CIST 005A,4.0,UCI
3,CIST 005B,4.0,UCI
3,CIST 004B1,4.0,UCM; UCSD
4,CIST 039,3.0,UCSC
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,MAT 021C,,UCD
UNARTICULATED,CSE 8B,,UCSD
