Semester,Course,Credits,UCs Fulfilled
1,MATH 1A,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1B,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 1C,4.0,UCB; UCD; UCLA; UCM; UCSD
1,COMSC 9A,4.0,UCD; UCLA; UCR; UCSB
2,COMSC 9B,4.0,UCM; UCSB; UCSC
2,MATH 2,3.0,UCB; UCLA; UCM; UCSB
2,MATH 3,3.0,UCB; UCLA; UCM; UCSB; UCSD
2,COMSC 15,3.0,UCD; UCSB; UCSC
2,COMSC 11,3.0,UCD; UCR
3,COMSC 2,3.0,UCD; UCSC
3,COMSC 12,3.0,UCSD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
