UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 40 (4.50); CIS 41A (4.50); CIS 41B (4.50),,,,,,,
UCI,Calc1,A,1,MATH 2A,MATH 1A (5.00),MATH 1AH (5.00),MATH 12 (5.00),,,,,
UCI,Calc2,A,1,MATH 2B,MATH 1B (5.00),MATH 1BH (5.00),,,,,,
UCI,Programming,A,1,I&C SCI 45C,CIS 22A (4.50); CIS 22B (4.50),CIS 29 (4.50),,,,,,
UCI,Programming,B,1,I&C SCI 46,CIS 22A (4.50); CIS 22B (4.50); CIS 22C (4.50),,,,,,,
UCI,Programming,C,1,I&C SCI 51,Not Articulated,,,,,,,
UCI,Programming,D,1,I&C SCI 53,Not Articulated,,,,,,,
UCI,Programming,E,1,IN4MATX 43,Not Articulated,,,,,,,
UCI,Programming,F,1,I&C SCI 6B,MATH 22 (5.00),MATH 22H (5.00),,,,,,
UCI,Programming,G,1,I&C SCI 6D,MATH 22 (5.00),MATH 22H (5.00),,,,,,
UCI,Programming,H,1,STATS 67,MATH 23 (5.00),,,,,,,
UCSD,Intro,B,1,CSE 11,CIS 35A (4.50),CIS 36B (4.50),,,,,,
UCSD,DataStructures,A,1,CSE 12,CIS 22C (4.50),CIS 22CH (4.50),,,,,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 22 (5.00),MATH 22H (5.00),,,,,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 2B (5.00),MATH 2BH (5.00),,,,,,
UCSD,Calc1,A,1,MATH 20A,MATH 1A (5.00),MATH 1AH (5.00),,,,,,
UCSD,Calc2,A,1,MATH 20B,MATH 1B (5.00),MATH 1BH (5.00),,,,,,
UCSD,Calc3,A,1,MATH 20C,MATH 1C (5.00); MATH 1D (5.00),MATH 1CH (5.00); MATH 1DH (5.00),,,,,,
