research_severity,filtered_impact,in_course_reqs,in_filtered_results,root_cause,raw_severity,uc,uc_full,cc,receiving,issue_type,message,expected_raw,actual_raw,expected_filtered,actual_filtered,recommended_action,url,view_by_key
low,no,True,True,option_order_only,low,UCB,University of California Berkeley,Mount San Antonio College,MATH 54,sending_options_mismatch,sending options differ,"[['ENGR 285 (4.00)'], ['MATH 285 (5.00)'], ['MATH 260 (3.00)', 'MATH 290 (4.00)']]","[['MATH 260 (3.00)', 'MATH 290 (4.00)'], ['ENGR 285 (4.00)'], ['MATH 285 (5.00)']]","[""('UCB', 'LinearAlgebraAndDifferentialEqations', 'A', '1', 'MATH 54', frozenset({('MATH 260 (3.00)', 'MATH 290 (4.00)'), ('MATH 285 (5.00)',), ('ENGR 285 (4.00)',)}))""]","[""('UCB', 'LinearAlgebraAndDifferentialEqations', 'A', '1', 'MATH 54', frozenset({('MATH 260 (3.00)', 'MATH 290 (4.00)'), ('MATH 285 (5.00)',), ('ENGR 285 (4.00)',)}))""]",No semantic filtered_results difference detected; keep as audit context.,https://assist.org/transfer/results?year=76&institution=62&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F62%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/62/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
low,no,True,True,option_order_only,low,UCD,University of California Davis,Foothill College,MAT 021A,sending_options_mismatch,sending options differ,"[['MATH 1A (5.00)'], ['MATH 1AH (5.00)', 'MATH 1AHP (1.00)']]","[['MATH 1AH (5.00)', 'MATH 1AHP (1.00)'], ['MATH 1A (5.00)']]","[""('UCD', 'Calc1', 'A', '1', 'MAT 021A', frozenset({('MATH 1AH (5.00)', 'MATH 1AHP (1.00)'), ('MATH 1A (5.00)',)}))""]","[""('UCD', 'Calc1', 'A', '1', 'MAT 021A', frozenset({('MATH 1AH (5.00)', 'MATH 1AHP (1.00)'), ('MATH 1A (5.00)',)}))""]",No semantic filtered_results difference detected; keep as audit context.,https://assist.org/transfer/results?year=76&institution=51&agreement=89&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F51%2Fto%2F89%2FMajor%2F37adebfb-6deb-4e42-34ac-08ddb349963e,76/51/to/89/Major/37adebfb-6deb-4e42-34ac-08ddb349963e
low,no,True,True,option_order_only,low,UCI,University of California Irvine,Southwestern College,MATH 2A,sending_options_mismatch,sending options differ,"[['MATH 250 (5.00)'], ['MATH 121 (3.00)', 'MATH 122 (3.00)']]","[['MATH 121 (3.00)', 'MATH 122 (3.00)'], ['MATH 250 (5.00)']]","[""('UCI', 'Calc1', 'A', '1', 'MATH 2A', frozenset({('MATH 121 (3.00)', 'MATH 122 (3.00)'), ('MATH 250 (5.00)',)}))""]","[""('UCI', 'Calc1', 'A', '1', 'MATH 2A', frozenset({('MATH 121 (3.00)', 'MATH 122 (3.00)'), ('MATH 250 (5.00)',)}))""]",No semantic filtered_results difference detected; keep as audit context.,https://assist.org/transfer/results?year=76&institution=138&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F138%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/138/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
low,no,True,True,option_order_only,low,UCLA,University of California Los Angeles,Contra Costa College,COM SCI 31,sending_options_mismatch,sending options differ,"[['COMP 165 (4.00)'], ['COMP 200 (4.00)'], ['COMP 200 (4.00)', 'COMP 210 (4.00)']]","[['COMP 200 (4.00)', 'COMP 210 (4.00)'], ['COMP 165 (4.00)'], ['COMP 200 (4.00)']]","[""('UCLA', 'Intro', 'A', '1', 'COM SCI 31', frozenset({('COMP 200 (4.00)', 'COMP 210 (4.00)'), ('COMP 165 (4.00)',), ('COMP 200 (4.00)',)}))""]","[""('UCLA', 'Intro', 'A', '1', 'COM SCI 31', frozenset({('COMP 165 (4.00)',), ('COMP 200 (4.00)',), ('COMP 200 (4.00)', 'COMP 210 (4.00)')}))""]",No semantic filtered_results difference detected; keep as audit context.,https://assist.org/transfer/results?year=76&institution=28&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F28%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e,76/28/to/117/Major/3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
low,no,True,True,option_order_only,low,UCM,University of California Merced,Mount San Antonio College,MATH 024,sending_options_mismatch,sending options differ,"[['MATH 285 (5.00)'], ['MATH 260 (3.00)', 'MATH 290 (4.00)']]","[['MATH 260 (3.00)', 'MATH 290 (4.00)'], ['MATH 285 (5.00)']]","[""('UCM', 'LinearAlgebra', 'A', '1', 'MATH 024', frozenset({('MATH 260 (3.00)', 'MATH 290 (4.00)'), ('MATH 285 (5.00)',)}))""]","[""('UCM', 'LinearAlgebra', 'A', '1', 'MATH 024', frozenset({('MATH 260 (3.00)', 'MATH 290 (4.00)'), ('MATH 285 (5.00)',)}))""]",No semantic filtered_results difference detected; keep as audit context.,https://assist.org/transfer/results?year=76&institution=62&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F62%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/62/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,no,True,True,option_order_only,low,UCM,University of California Merced,Rio Hondo College,MATH 024,sending_options_mismatch,sending options differ,"[['MATH 251 (5.00)'], ['MATH 260 (4.00)', 'MATH 270 (4.00)']]","[['MATH 260 (4.00)', 'MATH 270 (4.00)'], ['MATH 251 (5.00)']]","[""('UCM', 'LinearAlgebra', 'A', '1', 'MATH 024', frozenset({('MATH 251 (5.00)',), ('MATH 260 (4.00)', 'MATH 270 (4.00)')}))""]","[""('UCM', 'LinearAlgebra', 'A', '1', 'MATH 024', frozenset({('MATH 251 (5.00)',), ('MATH 260 (4.00)', 'MATH 270 (4.00)')}))""]",No semantic filtered_results difference detected; keep as audit context.,https://assist.org/transfer/results?year=76&institution=64&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F64%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/64/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,no,True,True,option_order_only,low,UCR,University of California Riverside,Mount San Antonio College,CS 10A,sending_options_mismatch,sending options differ,"[['CSCI 110 (3.50)'], ['CSCI 140 (4.00)'], ['CSCI 145 (4.00)'], ['CISP 31 (3.00)', 'CISP 31L (0.50)'], ['CISP 34 (3.00)', 'CISP 34L (0.50)']]","[['CISP 31 (3.00)', 'CISP 31L (0.50)'], ['CISP 34 (3.00)', 'CISP 34L (0.50)'], ['CSCI 110 (3.50)'], ['CSCI 140 (4.00)'], ['CSCI 145 (4.00)']]","[""('UCR', 'Intro1', 'A', '1', 'CS 10A', frozenset({('CISP 34 (3.00)', 'CISP 34L (0.50)'), ('CSCI 140 (4.00)',), ('CSCI 145 (4.00)',), ('CISP 31 (3.00)', 'CISP 31L (0.50)'), ('CSCI 110 (3.50)',)}))""]","[""('UCR', 'Intro1', 'A', '1', 'CS 10A', frozenset({('CISP 34 (3.00)', 'CISP 34L (0.50)'), ('CSCI 140 (4.00)',), ('CSCI 145 (4.00)',), ('CISP 31 (3.00)', 'CISP 31L (0.50)'), ('CSCI 110 (3.50)',)}))""]",No semantic filtered_results difference detected; keep as audit context.,https://assist.org/transfer/results?year=76&institution=62&agreement=46&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F62%2Fto%2F46%2FMajor%2Fb3f7557b-47c0-4486-4ece-08de050a3a5e,76/62/to/46/Major/b3f7557b-47c0-4486-4ece-08de050a3a5e
low,no,True,True,option_order_only,low,UCSB,University of California Santa Barbara,Madera Community College,MATH 3A,sending_options_mismatch,sending options differ,"[['MATH 5A (5.00)'], ['MATH 75A (2.00)', 'MATH 75B (3.00)']]","[['MATH 75A (2.00)', 'MATH 75B (3.00)'], ['MATH 5A (5.00)']]","[""('UCSB', 'Calc1', 'A', '1', 'MATH 3A', frozenset({('MATH 75A (2.00)', 'MATH 75B (3.00)'), ('MATH 5A (5.00)',)}))""]","[""('UCSB', 'Calc1', 'A', '1', 'MATH 3A', frozenset({('MATH 75A (2.00)', 'MATH 75B (3.00)'), ('MATH 5A (5.00)',)}))""]",No semantic filtered_results difference detected; keep as audit context.,https://assist.org/transfer/results?year=76&institution=200&agreement=128&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F200%2Fto%2F128%2FMajor%2F9b98e159-1754-4eb0-33c4-08ddf001012b,76/200/to/128/Major/9b98e159-1754-4eb0-33c4-08ddf001012b
low,no,True,True,option_order_only,low,UCSC,University of California Santa Cruz,Santa Monica College,CSE 12,sending_options_mismatch,sending options differ,"[['CS 18 (3.00)'], ['CS 17 (3.00)', 'CS 42 (3.00)']]","[['CS 17 (3.00)', 'CS 42 (3.00)'], ['CS 18 (3.00)']]","[""('UCSC', 'DataStructures', 'A', '1', 'CSE 12', frozenset({('CS 18 (3.00)',), ('CS 17 (3.00)', 'CS 42 (3.00)')}))""]","[""('UCSC', 'DataStructures', 'A', '1', 'CSE 12', frozenset({('CS 18 (3.00)',), ('CS 17 (3.00)', 'CS 42 (3.00)')}))""]",No semantic filtered_results difference detected; keep as audit context.,https://assist.org/transfer/results?year=76&institution=137&agreement=132&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F137%2Fto%2F132%2FMajor%2Fe9fc6b47-5b0e-45b7-2015-08ddcb96df9e,76/137/to/132/Major/e9fc6b47-5b0e-45b7-2015-08ddcb96df9e
low,no,True,True,option_order_only,low,UCSC,University of California Santa Cruz,Orange Coast College,CSE 16,sending_options_mismatch,sending options differ,"[['MATH A230 (5.00)'], ['CS A257 (3.00)', 'CS A262 (3.00)']]","[['CS A257 (3.00)', 'CS A262 (3.00)'], ['MATH A230 (5.00)']]","[""('UCSC', 'DiscreteMath', 'A', '1', 'CSE 16', frozenset({('CS A257 (3.00)', 'CS A262 (3.00)'), ('MATH A230 (5.00)',)}))""]","[""('UCSC', 'DiscreteMath', 'A', '1', 'CSE 16', frozenset({('CS A257 (3.00)', 'CS A262 (3.00)'), ('MATH A230 (5.00)',)}))""]",No semantic filtered_results difference detected; keep as audit context.,https://assist.org/transfer/results?year=76&institution=74&agreement=132&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F74%2Fto%2F132%2FMajor%2Fe9fc6b47-5b0e-45b7-2015-08ddcb96df9e,76/74/to/132/Major/e9fc6b47-5b0e-45b7-2015-08ddcb96df9e
