cc,uc,status,receiving,issue_type,message,exception_covered,expected,actual,url
Allan Hancock College,University of California Berkeley,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL C1000 (4.00)',), ('ENGL 102 (3.00)',))",https://assist.org/transfer/results?year=76&institution=110&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F110%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Allan Hancock College,University of California Berkeley,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL C1000 (4.00)',), ('ENGL 102 (3.00)',))",,https://assist.org/transfer/results?year=76&institution=110&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F110%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Allan Hancock College,University of California Los Angeles,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL 102 (3.00)',), ('ENGL C1001 (3.00)',), ('PHIL 114 (3.00)',), ('CS 111 (4.00)',))",https://assist.org/transfer/results?year=76&institution=110&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F110%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Allan Hancock College,University of California Los Angeles,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL 102 (3.00)',), ('ENGL C1001 (3.00)',), ('PHIL 114 (3.00)',), ('CS 111 (4.00)',))",,https://assist.org/transfer/results?year=76&institution=110&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F110%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Allan Hancock College,University of California Merced,fail,EE 060,missing_row,missing raw CSV row,False,"(('Not Articulated',),)",,https://assist.org/transfer/results?year=76&institution=110&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F110%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477
American River College,University of California Berkeley,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL C1000 (3.00)',), ('ENGL C1000H (3.00)',), ('ENGWR 301 (3.00)', 'ENGWR 303 (4.00)', 'ENGWR 481 (3.00)', 'ENGL C1001 (3.00)', 'ENGL C1000H (3.00)'))",https://assist.org/transfer/results?year=76&institution=27&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F27%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
American River College,University of California Berkeley,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL C1000 (3.00)',), ('ENGL C1000H (3.00)',), ('ENGWR 301 (3.00)',), ('ENGWR 303 (4.00)',), ('ENGWR 481 (3.00)',), ('ENGL C1001 (3.00)',))",,https://assist.org/transfer/results?year=76&institution=27&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F27%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
American River College,University of California Los Angeles,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGWR 301 (3.00)',), ('ENGL C1001 (3.00)',), ('ENGWR 481 (3.00)',), ('ENGL C1001H (3.00)',), ('CISP 400 (4.00)',))",https://assist.org/transfer/results?year=76&institution=27&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F27%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
American River College,University of California Los Angeles,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGWR 301 (3.00)',), ('ENGL C1001 (3.00)',), ('ENGWR 481 (3.00)',), ('ENGL C1001H (3.00)',), ('CISP 400 (4.00)',))",,https://assist.org/transfer/results?year=76&institution=27&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F27%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
American River College,University of California Merced,fail,EE 060,missing_row,missing raw CSV row,False,"(('Not Articulated',),)",,https://assist.org/transfer/results?year=76&institution=27&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F27%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477
