severity,root_cause,recommended_action,uc,uc_full,cc,status,receiving,issue_type,message,expected,actual,url,view_by_key
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCB,University of California Berkeley,Gavilan College,fail,COMPSCI 61B,flattened_or,sending options differ,"[['CSIS 27 (3.00)'], ['CSIS 46 (3.00)']]","[['CSIS 27 (3.00)', 'CSIS 46 (3.00)']]",https://assist.org/transfer/results?year=76&institution=72&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F72%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/72/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCB,University of California Berkeley,Pasadena City College,fail,MATH 51,flattened_or,sending options differ,"[['MATH 005A (5.00)'], ['MATH 005AH (5.00)'], ['MATH 005AE (5.50)']]","[['MATH 005A (5.00)', 'MATH 005AH (5.00)', 'MATH 005AE (5.50)']]",https://assist.org/transfer/results?year=76&institution=49&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F49%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/49/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCB,University of California Berkeley,Victor Valley College,fail,MATH 53,flattened_or,sending options differ,"[['MATH 228 (5.00)'], ['MATH 228H (5.00)']]","[['MATH 228 (5.00)', 'MATH 228H (5.00)']]",https://assist.org/transfer/results?year=76&institution=19&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F19%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/19/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
high,not_articulated_mismatch,Manually inspect ASSIST and current CSV; this can change whether a requirement is available.,UCB,University of California Berkeley,Clovis Community College,fail,COMPSCI 61C,not_articulated_mismatch,sending options differ,[['CSCI 45 (4.00)']],[['Not Articulated']],https://assist.org/transfer/results?year=76&institution=150&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F150%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/150/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
high,not_articulated_mismatch,Manually inspect ASSIST and current CSV; this can change whether a requirement is available.,UCD,University of California Davis,Mission College,fail,ECS 020,not_articulated_mismatch,sending options differ,[['MAT 020 (4.00)']],[['Not Articulated']],https://assist.org/transfer/results?year=76&institution=32&agreement=89&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F32%2Fto%2F89%2FMajor%2F37adebfb-6deb-4e42-34ac-08ddb349963e,76/32/to/89/Major/37adebfb-6deb-4e42-34ac-08ddb349963e
high,not_articulated_mismatch,Manually inspect ASSIST and current CSV; this can change whether a requirement is available.,UCD,University of California Davis,Norco College,fail,ECS 020,not_articulated_mismatch,sending options differ,"[['CIS 7 (3.00)'], ['CSC 7 (3.00)']]",[['Not Articulated']],https://assist.org/transfer/results?year=76&institution=148&agreement=89&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F148%2Fto%2F89%2FMajor%2F37adebfb-6deb-4e42-34ac-08ddb349963e,76/148/to/89/Major/37adebfb-6deb-4e42-34ac-08ddb349963e
high,not_articulated_mismatch,Manually inspect ASSIST and current CSV; this can change whether a requirement is available.,UCD,University of California Davis,Fresno City College,fail,ECS 050,not_articulated_mismatch,sending options differ,[['CSCI 45 (4.00)']],[['Not Articulated']],https://assist.org/transfer/results?year=76&institution=35&agreement=89&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F35%2Fto%2F89%2FMajor%2F37adebfb-6deb-4e42-34ac-08ddb349963e,76/35/to/89/Major/37adebfb-6deb-4e42-34ac-08ddb349963e
high,sending_grouping_mismatch,Inspect ASSIST row and fix exporter/parser grouping; this can change AND/OR meaning.,UCD,University of California Davis,Solano Community College,fail,ECS 020,sending_options_mismatch,sending options differ,"[['CIS 021 (3.00)'], ['ENGR 012 (4.00)']]",[['CIS 021 (3.00)']],https://assist.org/transfer/results?year=76&institution=94&agreement=89&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F94%2Fto%2F89%2FMajor%2F37adebfb-6deb-4e42-34ac-08ddb349963e,76/94/to/89/Major/37adebfb-6deb-4e42-34ac-08ddb349963e
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Fullerton College,fail,I&C SCI 6B,flattened_or,sending options differ,"[['MATH 170 F (5.00)'], ['MATH 171 F (4.00)']]","[['MATH 170 F (5.00)', 'MATH 171 F (4.00)']]",https://assist.org/transfer/results?year=76&institution=134&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F134%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/134/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Pasadena City College,fail,I&C SCI 6B,flattened_or,sending options differ,"[['CS 045 (4.00)'], ['MATH 022 (4.00)']]","[['CS 045 (4.00)', 'MATH 022 (4.00)']]",https://assist.org/transfer/results?year=76&institution=49&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F49%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/49/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,San Jose City College,fail,I&C SCI 6B,flattened_or,sending options differ,"[['MATH 070 (4.00)'], ['MATH 080 (4.00)']]","[['MATH 070 (4.00)', 'MATH 080 (4.00)']]",https://assist.org/transfer/results?year=76&institution=136&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F136%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/136/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Diablo Valley College,fail,I&C SCI 6D,flattened_or,sending options differ,"[['COMSC 230 (3.00)'], ['MATH 195 (4.00)']]","[['COMSC 230 (3.00)', 'MATH 195 (4.00)']]",https://assist.org/transfer/results?year=76&institution=114&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F114%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/114/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
